_id,Date,Leasee,Name of Event,Place,Type,Revenue,Attendance
69,2011,Mississippi Symphony,Orchestral Virtuosity,Thalia Mara,Symphony,1150.0000,925
70,2011,Mississippi Symphony,All City Orchestra,Thalia Mara,Symphony,1050.0000,1380
71,2011,Awakening Events,Third Day and Tenth Avenue North,Thalia Mara,Concert,2500.0000,2350
72,2011,Coball Entertainment,Cheaper To Keep Her,Thalia Mara,Play,2500.0000,1397
73,2011,Mississippi Symphony,Beethoven's Imcomparable Fifth,Thalia Mara,Symphony,1150.0000,1525
74,2011,Tennessee Theater,Aesop's Fables,Thalia Mara,Children's Show,700.0000,2200
75,2011,Mississippi Opera,The Barber of Seville,Thalia Mara,Opera,1350.0000,1320
76,2011,"W. Kessler, LTD",A Chorus Line,Thalia Mara,Chorus,5100.0000,1786
77,2011,Family Affair Entertainment,Fantasia and Urban Mystic Concert,Thalia Mara,Concert,2550.0000,1855
78,2011,Ballet Mississippi,Sleeping Beauty,Thalia Mara,Ballet,2150.0000,2660
79,2011,Beverly's School of Dance,Beverly's School of Dance Recital,Thalia Mara,Dance,950.0000,500
80,2011,National Shows 2,Jackson Browne Concert,Thalia Mara,Concert,2600.0000,1901
81,2011,Pearl High School,Graduation,Thalia Mara,Graduation,950.0000,2362
82,2011,Jackson Prep High School,Graduation,Thalia Mara,Graduation,1250.0000,1750
83,2011,Southern Classic Bodybuilders,Southern Classic Bodybuilders,Thalia Mara,Competition,1450.0000,1100
84,2011,MS Bodybuilding Championships,MS Bodybuilders Championships,Thalia Mara,Competition,1450.0000,1125
85,2011,Mississippi Symphony,Bravo I: Opening Night,Thalia Mara,Symphony,1150.0000,1400
86,2011,"W. Kessler, LTD",Peter Pan,Thalia Mara,Musical,5100.0000,4720
87,2011,Family Affair Entertainment,Brown is Back: A Comedy Experience,Thalia Mara,Comedy,2900.0000,1943
88,2011,Mississippi Bar Association,MS Bar Admission Ceremony,Thalia Mara,Ceremony,700.0000,2000
89,2011,Mississippi Music Educators,Mississippi Sings,Thalia Mara,Children's Show,900.0000,4600
90,2011,"W. Kessler, LTD",Beauty and the Beast,Thalia Mara,Musical,7650.0000,6900
91,2011,Mississippi Symphony,Hitchcock at Halloween,Thalia Mara,Symphony,1550.0000,1200
92,2011,Mississippi Opera,Madama Butterfly,Thalia Mara,Opera,1350.0000,4200
93,2011,"W. Kessler, LTD",My Fair Lady,Thalia Mara,Musical,5100.0000,3750
94,2011,Ballet Mississippi,The Nutcracker,Thalia Mara,Ballet,1900.0000,8800
95,2011,Ballet Magnificat,Snow Queen,Thalia Mara,Ballet,2650.0000,5700
96,2011,Belhaven College,Graduation,Thalia Mara,Graduation,700.0000,2360
97,2012,Mississippi Symphony,The Grand Meets The Great,Thalia Mara,Symphony,1150.0000,1800
98,2012,"W. Kessler, LTD",Spamalot,Thalia Mara,Musical,5100.0000,4600
99,2012,Larry Schaeffer Presents,Gordon Lightfoot Concert,Thalia Mara,Concert,2550.0000,1033
100,2012,Mississippi Symphony,JPS Children's Shows,Thalia Mara,Children's Show,600.0000,9440
101,2012,Mississippi Symphony,Your Song: The Music of Elton John,Thalia Mara,Symphony,1150.0000,2362
102,2012,Outback Concerts,Kevin Hart Comedy Show,Thalia Mara,Comedy,5100.0000,4650
103,2012,Mississippi Symphony,"Exotic, Eclectic, and Electric",Thalia Mara,Symphony,1150.0000,1300
104,2012,The Mind Center,Glen Campbell Concert,Thalia Mara,Concert,1250.0000,2300
105,2012,Mississippi Symphony,All City Rehearsal,Thalia Mara,Symphony,1000.0000,2400
106,2012,Mississippi Symphony,Ode to Joy,Thalia Mara,Symphony,1550.0000,2300
107,2012,Tennessee Theater Company,Grimm's Fairy Tales,Thalia Mara,Children's Show,700.0000,3000
108,2012,Mississippi Opera,L'elisir d'amore,Thalia Mara,Opera,1550.0000,3700
109,2012,Mississippi Symphony,We're Playing With Puppets,Thalia Mara,Symphony,1150.0000,800
110,2012,Ballet Mississippi,Spring Performance,Thalia Mara,Ballet,950.0000,1000
111,2012,"National Shows 2, LLC",Alison Krauss Concert,Thalia Mara,Concert,2550.0000,2350
112,2012,"W. Kessler, LTD",Young Frankenstein,Thalia Mara,Musical,5100.0000,3700
113,2012,Ardenland,Wilco Concert,Thalia Mara,Concert,2001.0000,2350
114,2012,Beverly's School of Dance,Dance Recital,Thalia Mara,Dance,950.0000,600
115,2012,Pearl High School,Graduation,Thalia Mara,Graduation,950.0000,2360
116,2012,Jackson Prep High School,Graduation,Thalia Mara,Graduation,1250.0000,2360
117,2012,Sourthern Classic Bodybuilders,Southern Classic Bodybuliding Championships,Thalia Mara,Competition,1450.0000,1200
118,2012,Stuart C. Irby,Benefit Concert,Thalia Mara,Concert,1250.0000,2350
119,2012,Unlimited Entertainment,Behind the Pulpit,Thalia Mara,Play,2500.0000,1100
120,2012,Made'lyn Productions,It's Time To Take Out The Trash,Thalia Mara,Play,1250.0000,600
121,2012,IBC,IBC Reunion Gala,Thalia Mara,IBC,0.0000,1800
122,2012,Mississippi Bodybuilding Championships,MS Bodybuilding Championships,Thalia Mara,Competition,1450.0000,800
123,2012,Premier Productions,Gaither Vocal Band Concert,Thalia Mara,Concert,2750.0000,2350
124,2012,Mississippi Symphony,Mahler's Fifth,Thalia Mara,Symphony,1550.0000,1200
125,2012,Catholic Diocese of Jackson,Catholic Diocese of Jackson,Thalia Mara,Event,1250.0000,2350
126,2012,Mississippi Bar Association,Mississippi Bar Admission Ceremony,Thalia Mara,Event,700.0000,2300
127,2012,Red Mountain Entertainment,Need to Breathe Concert,Thalia Mara,Concert,2550.0000,2300
128,2012,Classic Productions,June B. Jones,Thalia Mara,Children's Show,700.0000,2100
129,2012,Mississippi Symphony,Rachmaninoff's Third,Thalia Mara,Symphony,1150.0000,1800
130,2012,Mississippi Music Educators,Mississippi Sings,Thalia Mara,Children's Show,900.0000,2700
131,2012,Outback Concerts,John Prine Concert,Thalia Mara,Concert,2550.0000,2200
132,2012,Chamber Theater,Encore,Thalia Mara,Children's Show,1200.0000,1900
133,2012,W. Kessler LTD,Shrek the Musical,Thalia Mara,Musical,5100.0000,3600
134,2012,NEGEV 39Z,Great Russian Nutcracker,Thalia Mara,Ballet,2550.0000,655
135,2012,Ballet Mississippi,The Nutcracker,Thalia Mara,Ballet,3100.0000,7900
136,2012,Ballet Magnificat,Snow Queen,Thalia Mara,Ballet,2850.0000,6000
137,2012,Belhaven College,Graduation,Thalia Mara,Graduation,700.0000,2360
138,2013,Mississippi Symphony,Dvorak's Seventh,Thalia Mara,Symphony,1150.0000,1000
139,2013,Larry Schaeffer Presents,B.B. King Concert,Thalia Mara,Concert,2550.0000,2359
140,2013,Mississippi Symphony,The Music of The Eagles,Thalia Mara,Symphony,950.0000,1500
141,2013,W. Kessler LTD,Blue Man Group,Thalia Mara,Concert,5100.0000,4718
142,2013,Sherpa Concerts,Black Jacket Symphony Performs,Thalia Mara,Symphony,2357.4300,848
143,2013,Mississippi Symphony,JPS Children's Shows,Thalia Mara,Children's Show,600.0000,8000
144,2013,Mississippi Symphony,Cirque de la Symphonie,Thalia Mara,Symphony,1550.0000,1900
145,2013,Mississippi Symphony,Beethoven's Sixth,Thalia Mara,Symphony,1150.0000,1700
146,2013,Tennessee Theatre Company,Little Red Riding Hood and,Thalia Mara,Play,700.0000,2000
147,2013,Mississippi Symphony,Stravinsky's Rite,Thalia Mara,Symphony,1750.0000,1400
148,2013,"W. Kessler, LTD",Elvis Lives,Thalia Mara,Concert,5100.0000,2800
149,2013,Belhaven College,2 Graduations,Thalia Mara,Graduation,1400.0000,4720
150,2013,Ballet Mississippi,The Sleeping Beauty: Act III,Thalia Mara,Ballet,1350.0000,1000
151,2013,Metro Ballet,SERBA Festival,Thalia Mara,Ballet,3450.0000,1500
152,2013,University of Mississippi dba/The Mind Center,The Band Perry,Thalia Mara,Concert,500.0000,2362
153,2013,"W. Kessler, LTD",Menopause,Thalia Mara,Musical,5100.0000,1998
154,2013,Ardenland,Lyell Lovett,Thalia Mara,Concert,2550.0000,1067
155,2013,Ballet Mississippi,Dance Recital,Thalia Mara,Ballet,950.0000,900
156,2013,Pearl High School,Graduation,Thalia Mara,Graduation,950.0000,2360
157,2013,Beverly's School of Dance,Dance Recital,Thalia Mara,Dance,950.0000,1200
158,2013,Jackson Prep High School,Graduation,Thalia Mara,Graduation,1250.0000,2360
159,2013,Southern Classic Bodybuilders,Southern Classic Bodybuilders,Thalia Mara,Competition,1450.0000,1000
160,2013,"W. Kessler, LTD",The Addams Family,Thalia Mara,Musical,5100.0000,3000
161,2013,Ardenland,YES Concert,Thalia Mara,Concert,2550.0000,1493
162,2013,The Master's Plan,J. Anthony Brown Comedy Show,Thalia Mara,Comedy,750.0000,600
